calendar_id,calendar_version,timezone,session_date,open_at,break_start_at,break_end_at,close_at,sequence,special_session
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-27,2026-05-27T09:30:00+08:00,2026-05-27T11:30:00+08:00,2026-05-27T13:00:00+08:00,2026-05-27T15:00:00+08:00,11,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-28,2026-05-28T09:30:00+08:00,2026-05-28T11:30:00+08:00,2026-05-28T13:00:00+08:00,2026-05-28T15:00:00+08:00,12,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-05-29,2026-05-29T09:30:00+08:00,2026-05-29T11:30:00+08:00,2026-05-29T13:00:00+08:00,2026-05-29T15:00:00+08:00,13,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-01,2026-06-01T09:30:00+08:00,2026-06-01T11:30:00+08:00,2026-06-01T13:00:00+08:00,2026-06-01T15:00:00+08:00,14,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-02,2026-06-02T09:30:00+08:00,2026-06-02T11:30:00+08:00,2026-06-02T13:00:00+08:00,2026-06-02T15:00:00+08:00,15,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-03,2026-06-03T09:30:00+08:00,2026-06-03T11:30:00+08:00,2026-06-03T13:00:00+08:00,2026-06-03T15:00:00+08:00,16,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-04,2026-06-04T09:30:00+08:00,2026-06-04T11:30:00+08:00,2026-06-04T13:00:00+08:00,2026-06-04T15:00:00+08:00,17,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-05,2026-06-05T09:30:00+08:00,2026-06-05T11:30:00+08:00,2026-06-05T13:00:00+08:00,2026-06-05T15:00:00+08:00,18,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-08,2026-06-08T09:30:00+08:00,2026-06-08T11:30:00+08:00,2026-06-08T13:00:00+08:00,2026-06-08T15:00:00+08:00,19,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-09,2026-06-09T09:30:00+08:00,2026-06-09T11:30:00+08:00,2026-06-09T13:00:00+08:00,2026-06-09T15:00:00+08:00,20,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-10,2026-06-10T09:30:00+08:00,2026-06-10T11:30:00+08:00,2026-06-10T13:00:00+08:00,2026-06-10T15:00:00+08:00,21,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-11,2026-06-11T09:30:00+08:00,2026-06-11T11:30:00+08:00,2026-06-11T13:00:00+08:00,2026-06-11T15:00:00+08:00,22,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-12,2026-06-12T09:30:00+08:00,2026-06-12T11:30:00+08:00,2026-06-12T13:00:00+08:00,2026-06-12T15:00:00+08:00,23,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-15,2026-06-15T09:30:00+08:00,2026-06-15T11:30:00+08:00,2026-06-15T13:00:00+08:00,2026-06-15T15:00:00+08:00,24,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-16,2026-06-16T09:30:00+08:00,2026-06-16T11:30:00+08:00,2026-06-16T13:00:00+08:00,2026-06-16T15:00:00+08:00,25,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-17,2026-06-17T09:30:00+08:00,2026-06-17T11:30:00+08:00,2026-06-17T13:00:00+08:00,2026-06-17T15:00:00+08:00,26,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-18,2026-06-18T09:30:00+08:00,2026-06-18T11:30:00+08:00,2026-06-18T13:00:00+08:00,2026-06-18T15:00:00+08:00,27,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-22,2026-06-22T09:30:00+08:00,2026-06-22T11:30:00+08:00,2026-06-22T13:00:00+08:00,2026-06-22T15:00:00+08:00,28,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-23,2026-06-23T09:30:00+08:00,2026-06-23T11:30:00+08:00,2026-06-23T13:00:00+08:00,2026-06-23T15:00:00+08:00,29,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-24,2026-06-24T09:30:00+08:00,2026-06-24T11:30:00+08:00,2026-06-24T13:00:00+08:00,2026-06-24T15:00:00+08:00,30,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-25,2026-06-25T09:30:00+08:00,2026-06-25T11:30:00+08:00,2026-06-25T13:00:00+08:00,2026-06-25T15:00:00+08:00,31,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-26,2026-06-26T09:30:00+08:00,2026-06-26T11:30:00+08:00,2026-06-26T13:00:00+08:00,2026-06-26T15:00:00+08:00,32,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-29,2026-06-29T09:30:00+08:00,2026-06-29T11:30:00+08:00,2026-06-29T13:00:00+08:00,2026-06-29T15:00:00+08:00,33,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-06-30,2026-06-30T09:30:00+08:00,2026-06-30T11:30:00+08:00,2026-06-30T13:00:00+08:00,2026-06-30T15:00:00+08:00,34,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-01,2026-07-01T09:30:00+08:00,2026-07-01T11:30:00+08:00,2026-07-01T13:00:00+08:00,2026-07-01T15:00:00+08:00,35,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-02,2026-07-02T09:30:00+08:00,2026-07-02T11:30:00+08:00,2026-07-02T13:00:00+08:00,2026-07-02T15:00:00+08:00,36,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-03,2026-07-03T09:30:00+08:00,2026-07-03T11:30:00+08:00,2026-07-03T13:00:00+08:00,2026-07-03T15:00:00+08:00,37,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-07,2026-07-07T09:30:00+08:00,2026-07-07T11:30:00+08:00,2026-07-07T13:00:00+08:00,2026-07-07T15:00:00+08:00,38,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-08,2026-07-08T09:30:00+08:00,2026-07-08T11:30:00+08:00,2026-07-08T13:00:00+08:00,2026-07-08T15:00:00+08:00,39,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-09,2026-07-09T09:30:00+08:00,2026-07-09T11:30:00+08:00,2026-07-09T13:00:00+08:00,2026-07-09T15:00:00+08:00,40,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-10,2026-07-10T09:30:00+08:00,2026-07-10T11:30:00+08:00,2026-07-10T13:00:00+08:00,2026-07-10T15:00:00+08:00,41,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-13,2026-07-13T09:30:00+08:00,2026-07-13T11:30:00+08:00,2026-07-13T13:00:00+08:00,2026-07-13T15:00:00+08:00,42,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-14,2026-07-14T09:30:00+08:00,2026-07-14T11:30:00+08:00,2026-07-14T13:00:00+08:00,2026-07-14T15:00:00+08:00,43,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-15,2026-07-15T09:30:00+08:00,2026-07-15T11:30:00+08:00,2026-07-15T13:00:00+08:00,2026-07-15T15:00:00+08:00,44,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-16,2026-07-16T09:30:00+08:00,2026-07-16T11:30:00+08:00,2026-07-16T13:00:00+08:00,2026-07-16T15:00:00+08:00,45,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-17,2026-07-17T09:30:00+08:00,2026-07-17T11:30:00+08:00,2026-07-17T13:00:00+08:00,2026-07-17T15:00:00+08:00,46,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-20,2026-07-20T09:30:00+08:00,2026-07-20T11:30:00+08:00,2026-07-20T13:00:00+08:00,2026-07-20T15:00:00+08:00,47,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-21,2026-07-21T09:30:00+08:00,2026-07-21T11:30:00+08:00,2026-07-21T13:00:00+08:00,2026-07-21T15:00:00+08:00,48,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-22,2026-07-22T09:30:00+08:00,2026-07-22T11:30:00+08:00,2026-07-22T13:00:00+08:00,2026-07-22T15:00:00+08:00,49,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-23,2026-07-23T09:30:00+08:00,2026-07-23T11:30:00+08:00,2026-07-23T13:00:00+08:00,2026-07-23T15:00:00+08:00,50,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-24,2026-07-24T09:30:00+08:00,2026-07-24T11:30:00+08:00,2026-07-24T13:00:00+08:00,2026-07-24T15:00:00+08:00,51,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-27,2026-07-27T09:30:00+08:00,2026-07-27T11:30:00+08:00,2026-07-27T13:00:00+08:00,2026-07-27T15:00:00+08:00,52,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-28,2026-07-28T09:30:00+08:00,2026-07-28T11:30:00+08:00,2026-07-28T13:00:00+08:00,2026-07-28T15:00:00+08:00,53,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-29,2026-07-29T09:30:00+08:00,2026-07-29T11:30:00+08:00,2026-07-29T13:00:00+08:00,2026-07-29T15:00:00+08:00,54,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-30,2026-07-30T09:30:00+08:00,2026-07-30T11:30:00+08:00,2026-07-30T13:00:00+08:00,2026-07-30T15:00:00+08:00,55,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-07-31,2026-07-31T09:30:00+08:00,2026-07-31T11:30:00+08:00,2026-07-31T13:00:00+08:00,2026-07-31T15:00:00+08:00,56,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-08-03,2026-08-03T09:30:00+08:00,2026-08-03T11:30:00+08:00,2026-08-03T13:00:00+08:00,2026-08-03T15:00:00+08:00,57,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-08-04,2026-08-04T09:30:00+08:00,2026-08-04T11:30:00+08:00,2026-08-04T13:00:00+08:00,2026-08-04T15:00:00+08:00,58,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-08-05,2026-08-05T09:30:00+08:00,2026-08-05T11:30:00+08:00,2026-08-05T13:00:00+08:00,2026-08-05T15:00:00+08:00,59,false
synthetic-ashare-demo-calendar,2026-demo-v1,Asia/Shanghai,2026-08-06,2026-08-06T09:30:00+08:00,2026-08-06T11:30:00+08:00,2026-08-06T13:00:00+08:00,2026-08-06T15:00:00+08:00,60,false
